Código,Cuenta,Nivel,Primer Nivel,COMPLETO
1,ACTIVO,1,ACTIVO,TODO
11,Activo Corriente,2,ACTIVO,TODO
111,Efectivo  equivalentes de efectivo,3,ACTIVO,TODO
11101,Efectivo,4,ACTIVO,TODO
1110101,Caja,5,ACTIVO,TODO
111010102,Efectivo en caja en el país,6,ACTIVO,TODO
111010103,Efectivo en caja en el exterior,6,ACTIVO,TODO
1110102,Depósitos bancarios,5,ACTIVO,TODO
111010201,Depósitos bancarios en el sector privado interno,6,ACTIVO,TODO
111010202,Depósitos bancarios en el sector público interno,6,ACTIVO,TODO
111010203,Depósitos bancarios en el sector externo,6,ACTIVO,TODO
1110103,Cajas chicas  fondos rotatorios,5,ACTIVO,TODO
111010301,Cajas chicas,6,ACTIVO,TODO
111010302,Fondos rotatorios,6,ACTIVO,TODO
1110104,Valores a depositar,5,ACTIVO,TODO
111010402,Valores a depositar en el país,6,ACTIVO,TODO
111010403,Valores a depositar en el exterior,6,ACTIVO,TODO
11102,Equivalentes de efectivo,4,ACTIVO,TODO
1110201,Depósitos a plazo fijo,5,ACTIVO,TODO
111020101,Depósitos a plazo fijo sector privado interno,6,ACTIVO,TODO
111020102,Depósitos a plazo fijo sector público interno,6,ACTIVO,TODO
111020103,Depósitos a plazo fijo en el sector externo,6,ACTIVO,TODO
1110299,Otros equivalentes de efectivo,5,ACTIVO,TODO
111029901,Otros equivalentes de efectivo en el sector privado interno,6,ACTIVO,TODO
111029902,Otros equivalentes de efectivo en el sector público interno,6,ACTIVO,TODO
111029903,Otros equivalentes de efectivo en el sector externo,6,ACTIVO,TODO
112,Inversiones a corto plazo,3,ACTIVO,TODO
11201,Títulos y valores a valor razonable a corto plazo,4,ACTIVO,TODO
1120101,Títulos y valores a valor razonable del sector privado interno c/p,5,ACTIVO,TODO
112010101,Títulos y valores a valor razonable de empresas privadas c/p,6,ACTIVO,TODO
112010199,Títulos y valores a valor razonable de otras unidades del sector privado c/p,6,ACTIVO,TODO
1120102,Títulos y valores a valor razonable del sector público interno c/p,5,ACTIVO,TODO
112010201,Títulos y valores a valor razonable del Gobierno Central c/p,6,ACTIVO,TODO
112010203,Títulos y valores a valor razonable de Instituciones Descentralizadas no Empresariales c/p,6,ACTIVO,TODO
112010204,Títulos y valores a valor razonable de Gobiernos Locales c/p,6,ACTIVO,TODO
112010205,Títulos y valores a valor razonable de Empresas Públicas no Financieras c/p,6,ACTIVO,TODO
112010206,Títulos y valores a valor razonable de Instituciones Públicas Financieras c/p,6,ACTIVO,TODO
112010299,Títulos y valores a valor razonable de otras Instituciones de Gobiernos Locales c/p,6,ACTIVO,TODO
1120103,Títulos y valores a valor razonable del sector externo c/p,5,ACTIVO,TODO
112010301,Títulos y valores a valor razonable de gobiernos extranjeros c/p,6,ACTIVO,TODO
112010302,Títulos y valores a valor razonable de organismos financieros internacionales c/p,6,ACTIVO,TODO
112010399,Títulos y valores a valor razonable de otras unidades del sector externo c/p,6,ACTIVO,TODO
11202,Títulos y valores a costo amortizado a c/p,4,ACTIVO,TODO
1120201,Títulos y valores a costo amortizado del sector privado a c/p,5,ACTIVO,TODO
112020101,Títulos y valores a costo amortizado de empresas privadas c/p,6,ACTIVO,TODO
112020199,Títulos y valores a costo amortizado de otras unidades del sector privado c/p,6,ACTIVO,TODO
1120202,Títulos y valores a costo amortizado del sector público interno c/p,5,ACTIVO,TODO
112020201,Títulos y valores a costo amortizado del Gobierno Central c/p,6,ACTIVO,TODO
112020203,Títulos y valores a costo amortizado de Instituciones Descentralizadas no Empresariales c/p,6,ACTIVO,TODO
112020204,Títulos y valores a costo amortizado de Gobiernos Locales c/p,6,ACTIVO,TODO
112020205,Títulos y valores a costo amortizado de Empresas Públicas no Financieras c/p,6,ACTIVO,TODO
112020206,Títulos y valores a costo amortizado de Instituciones Públicas Financieras c/p,6,ACTIVO,TODO
112020299,Títulos y valores a costo amortizado de otras Instituciones de Gobiernos Locales c/p,6,ACTIVO,TODO
1120203,Títulos y valores a costo amortizado del sector externo c/p,5,ACTIVO,TODO
112020301,Títulos y valores a costo amortizado de gobiernos extranjeros c/p,6,ACTIVO,TODO
112020302,Títulos y valores a costo amortizado de organismos financieros internacionales c/p,6,ACTIVO,TODO
112020399,Títulos y valores a costo amortizado de otras unidades del sector externo c/p,6,ACTIVO,TODO
11203,Instrumentos Derivados a corto plazo,4,ACTIVO,TODO
1120301,Instrumentos derivados del sector privado interno c/p,5,ACTIVO,TODO
112030101,Contratos a término y futuros del sector privado interno c/p,6,ACTIVO,TODO
112030102,Permutas financieras del sector privado interno c/p,6,ACTIVO,TODO
112030103,Opciones de venta compradas del sector privado interno c/p,6,ACTIVO,TODO
112030104,Opciones de compra compradas del sector privado interno c/p,6,ACTIVO,TODO
112030199,Otros instrumentos derivados del sector privado interno c/p,6,ACTIVO,TODO
1120302,Instrumentos derivados del sector público interno c/p,5,ACTIVO,TODO
112030201,Contratos a término y futuros del sector público interno c/p,6,ACTIVO,TODO
112030202,Permutas financieras del sector público interno c/p,6,ACTIVO,TODO
112030203,Opciones de venta compradas del sector público interno c/p,6,ACTIVO,TODO
112030204,Opciones de compra compradas del sector público interno c/p,6,ACTIVO,TODO
112030299,Otros instrumentos derivados del sector público interno c/p,6,ACTIVO,TODO
1120303,Instrumentos derivados del sector externo c/p,5,ACTIVO,TODO
112030301,Contratos a término y futuros del sector externo c/p,6,ACTIVO,TODO
112030302,Permutas financieras del sector externo c/p,6,ACTIVO,TODO
112030303,Opciones de venta compradas del sector externo c/p,6,ACTIVO,TODO
112030304,Opciones de compra compradas del sector externo c/p,6,ACTIVO,TODO
112030399,Otros instrumentos derivados del sector externo c/p,6,ACTIVO,TODO
